,time,wind_speed,wind_angle,air_pressure,battery_voltage,battery_current,battery_remain,gps_x,gps_y,gps_z,real_lat,real_long,aim_lat,aim_long,aim_z,o_x,o_y,o_z,o_w,v_x,v_y,v_z,la_x,la_y,la_z,power
0,0.0,0.0,0.0,96475.0,16.5,0.0,1.0,-8.71705722809,3.29110050201,-0.562703490257,34.0300215,108.7565107,0.0,0.0,0.0,-0.0176219852451,-0.00341850388239,-0.730221524829,-0.682974612621,-0.0171393454075,0.00769116450101,0.00860071275383,0.209882348776,0.29653146863,9.80578327179,0.0
1,0.19000005722045898,0.0,0.0,96475.75,16.5020008087,0.0,1.0,-8.73041820526,3.2874121666,-0.567990958691,34.0300215,108.7565106,0.0,0.0,0.0,-0.0176320629517,-0.00340458422713,-0.730212205107,-0.682984438105,-0.0169812217355,0.0069211050868,0.00728882523254,0.187164068222,0.281306147575,9.7888584137,0.0
2,0.40000009536743164,0.0,0.0,96475.5,16.5060005188,0.0,1.0,-8.74385547638,3.28430056572,-0.570143997669,34.0300215,108.7565105,0.0,0.0,0.0,-0.017629434042,-0.00342283644671,-0.730223131678,-0.682972668597,-0.0167323444039,0.00638093193993,0.00713506527245,0.216267764568,0.290221452713,9.79200077057,0.0
3,0.5899999141693115,0.0,0.0,96474.5,16.5060005188,0.0,1.0,-8.75756931305,3.28218770027,-0.574311673641,34.0300215,108.7565104,0.0,0.0,0.0,-0.0176311475749,-0.00344301951879,-0.73022511258,-0.682970350521,-0.0168514661491,0.00685107382014,0.00504767987877,0.229136615992,0.295111447573,9.81245136261,0.0
4,0.9900000095367432,0.0,0.0,96474.0,16.513999939,0.0,1.0,-8.78200054169,3.2741754055,-0.578743219376,34.0300213,108.7565103,0.0,0.0,0.0,-0.0176929006105,-0.00341855590741,-0.730246512642,-0.682946000179,-0.0154142193496,0.00386539334431,0.00413408549502,0.226878359914,0.282647043467,9.8208026886,0.0
5,1.3899998664855957,0.0,0.0,96474.5,16.5079994202,0.0,1.0,-8.80634117126,3.2659509182,-0.577371954918,34.0300213,108.7565101,0.0,0.0,0.0,-0.017657131107,-0.00342519008478,-0.730251198845,-0.682941988326,-0.0147691275924,0.00227583386004,0.00353066483513,0.200093120337,0.286931782961,9.80990791321,0.0
6,1.6099998950958252,0.0,0.0,96478.5,16.5060005188,0.0,1.0,-8.81940174103,3.26528859138,-0.575565934181,34.0300212,108.75651,0.0,0.0,0.0,-0.0176043652283,-0.00342677520141,-0.73023839674,-0.682957066361,-0.0147909838706,0.00444324174896,0.0044269990176,0.211255446076,0.274007946253,9.79531574249,0.0
7,1.7999999523162842,0.0,0.0,96474.0,16.5060005188,0.0,1.0,-8.83252239227,3.26492524147,-0.576480746269,34.0300212,108.75651,0.0,0.0,0.0,-0.0175627978989,-0.00343731981608,-0.730226258447,-0.682971059115,-0.0161678195,0.00523669132963,0.00494267838076,0.195968732238,0.287262052298,9.81890583038,0.0
8,1.9900000095367432,0.0,0.0,96473.5,16.5060005188,0.0,1.0,-8.84382247925,3.26457333565,-0.577212035656,34.0300212,108.7565099,0.0,0.0,0.0,-0.0175614933223,-0.00344695498077,-0.730227736221,-0.682969497047,-0.014757681638,0.00727406563237,0.00535704847425,0.198992535472,0.292724400759,9.79930686951,0.0
9,2.200000047683716,0.0,0.0,96474.5,16.5060005188,0.0,1.0,-8.85519123077,3.26485347748,-0.575362920761,34.0300211,108.7565099,0.0,0.0,0.0,-0.0175574524931,-0.00348143900539,-0.730237906783,-0.682958483549,-0.013814327307,0.00974003411829,0.00573147740215,0.198863297701,0.280345290899,9.78608989716,0.0
10,2.4000000953674316,0.0,0.0,96474.25,16.5079994202,0.0,1.0,-8.86519050598,3.26747441292,-0.570989847183,34.0300211,108.7565097,0.0,0.0,0.0,-0.0175317811111,-0.00353188878306,-0.730248448763,-0.682947604393,-0.0126350140199,0.0130790304393,0.00739620067179,0.209952116013,0.255956232548,9.80057430267,0.0
11,2.609999895095825,0.0,0.0,96473.5,16.5049991608,0.0,1.0,-8.87705802917,3.26884531975,-0.565884888172,34.0300211,108.7565096,0.0,0.0,0.0,-0.0175150257632,-0.00356384333822,-0.730244716133,-0.682951842786,-0.0128084607422,0.0149346161634,0.00943359732628,0.188657045364,0.287808895111,9.81598854065,0.0
12,3.009999990463257,0.0,0.0,96477.0,16.5020008087,0.0,1.0,-8.90007686615,3.26857185364,-0.550903439522,34.030021,108.7565095,0.0,0.0,0.0,-0.017497614505,-0.00356713803639,-0.730215956177,-0.682982962965,-0.0129591431469,0.0162940304726,0.0142772179097,0.200601652265,0.271395653486,9.80752277374,0.0
13,3.2100000381469727,0.0,0.0,96475.25,16.5,0.0,1.0,-8.90968799591,3.26617908478,-0.546287953854,34.030021,108.7565093,0.0,0.0,0.0,-0.0175200860192,-0.00356419236681,-0.730217973957,-0.682980270835,-0.0118316560984,0.0166449956596,0.0158080849797,0.236791223288,0.269002854824,9.81403541565,0.0
14,3.3899998664855957,0.0,0.0,96476.0,16.5,0.0,1.0,-8.91933822632,3.26509618759,-0.54301649332,34.0300209,108.7565092,0.0,0.0,0.0,-0.0175145825628,-0.0036091887374,-0.73019934505,-0.683000079854,-0.0104162003845,0.0175790898502,0.0173088554293,0.225920766592,0.270015388727,9.81214046478,0.0
