,time,wind_speed,wind_angle,air_pressure,battery_voltage,battery_current,battery_remain,gps_x,gps_y,gps_z,real_lat,real_long,aim_lat,aim_long,aim_z,o_x,o_y,o_z,o_w,v_x,v_y,v_z,la_x,la_y,la_z,power
0,0.0,0.7,37.0,96740.25,16.517999649,0.0,1.0,-0.670388102531,-2.46676039696,1.31962883472,34.0299663,108.7565863,0.0,0.0,0.0,-0.000665284052477,0.0188312527444,-0.662965712392,-0.748412631482,0.0183472987264,-0.00576966768131,0.0443931296468,0.27673086524,-0.236462399364,9.80675888062,0.0
1,0.20000004768371582,0.7,37.0,96740.75,16.5359992981,0.0,1.0,-0.667319357395,-2.47257375717,1.32155811787,34.0299662,108.7565864,0.0,0.0,0.0,-0.000607738457736,0.0187977730002,-0.663007674848,-0.748376400998,0.0174669958651,-0.00734811462462,0.0446785055101,0.281204879284,-0.239578470588,9.80440044403,0.0
2,0.37999987602233887,0.7,37.0,96740.25,16.5550003052,0.0,1.0,-0.662280023098,-2.47857022285,1.3232088089,34.0299661,108.7565865,0.0,0.0,0.0,-0.000607550772551,0.0188091941376,-0.663002996547,-0.748380236361,0.0174149237573,-0.0085384529084,0.0452939495444,0.281987786293,-0.244047403336,9.81544399261,0.0
3,0.5999999046325684,0.7,37.0,96739.0,16.5839996338,0.0,1.0,-0.658600628376,-2.48497104645,1.32377576828,34.0299661,108.7565866,0.0,0.0,0.0,-0.00062316552138,0.0187915668767,-0.663017094668,-0.748368245582,0.0173040106893,-0.00963626429439,0.0453327037394,0.284036934376,-0.23761318624,9.81097984314,0.0
4,0.7799999713897705,0.7,37.0,96742.25,16.6000003815,0.0,1.0,-0.655541718006,-2.49209928513,1.3249052763,34.029966,108.7565867,0.0,0.0,0.0,-0.00060069334859,0.0188598579422,-0.663029680771,-0.748355322305,0.0158607829362,-0.010873910971,0.0457766987383,0.276397287846,-0.22849072516,9.80445766449,0.0
5,1.0,0.0,30.0,96738.0,16.6219997406,0.0,1.0,-0.653063356876,-2.49529600143,1.32651853561,34.0299659,108.7565866,0.0,0.0,0.0,-0.000567816831118,0.0188544861947,-0.663051942209,-0.748335758265,0.0145451743156,-0.00938015338033,0.0464953705668,0.288697838783,-0.250233888626,9.8082780838,0.0
6,1.2000000476837158,0.0,30.0,96740.0,16.6219997406,0.0,1.0,-0.653226435184,-2.50025200844,1.32884609699,34.0299658,108.7565868,0.0,0.0,0.0,-0.000565806294735,0.018886621191,-0.663074717313,-0.748314753329,0.0119537748396,-0.00943572167307,0.047216385603,0.293316721916,-0.247268870473,9.81487751007,0.0
7,1.3999998569488525,0.0,30.0,96740.0,16.6340007782,0.0,1.0,-0.650442957878,-2.5060544014,1.33031892776,34.0299657,108.7565869,0.0,0.0,0.0,-0.00052470192218,0.0189194529275,-0.663093912568,-0.748296991067,0.0112490402535,-0.0103649161756,0.0474169030786,0.281495928764,-0.245234787464,9.80250263214,0.0
8,1.5999999046325684,0.0,30.0,96739.4921875,16.6289997101,0.0,1.0,-0.644525110722,-2.51477956772,1.33371400833,34.0299657,108.7565869,0.0,0.0,0.0,-0.000545166192766,0.0188845889227,-0.66312856518,-0.748267143195,0.011230702512,-0.0113709624857,0.0476384796202,0.296395719051,-0.247495427728,9.82601642609,0.0
9,1.7799999713897705,0.0,30.0,96740.25,16.6289997101,0.0,1.0,-0.642474412918,-2.51963305473,1.33471703529,34.0299656,108.756587,0.0,0.0,0.0,-0.000494668341349,0.0188764315319,-0.663124827281,-0.748270628213,0.00946918409318,-0.0105025367811,0.0480155982077,0.280163347721,-0.228446498513,9.79552364349,0.0
10,1.9800000190734863,0.0,30.0,96739.4921875,16.6140003204,0.0,1.0,-0.637935161591,-2.52320027351,1.33495926857,34.0299656,108.7565871,0.0,0.0,0.0,-0.000505972257829,0.0188922991618,-0.663149167086,-0.748248648631,0.00935972016305,-0.00945689063519,0.0483328774571,0.277243226767,-0.239537224174,9.81424427032,0.0
11,2.200000047683716,0.0,30.0,96738.5,16.6130008698,0.0,1.0,-0.630660653114,-2.53026509285,1.33481144905,34.0299656,108.7565871,0.0,0.0,0.0,-0.000525200440373,0.0189090722904,-0.66316822273,-0.748231363155,0.0104348435998,-0.00993954297155,0.0478939898312,0.291780799627,-0.237635180354,9.80203151703,0.0
12,2.3999998569488525,0.0,30.0,96739.75,16.6319999695,0.0,1.0,-0.621624648571,-2.53687262535,1.33252906799,34.0299655,108.7565872,0.0,0.0,0.0,-0.000502716413781,0.0188522438506,-0.663150876668,-0.748248287749,0.0132641447708,-0.0106405178085,0.0468172356486,0.274051636457,-0.243484884501,9.79717350006,0.0
13,2.5799999237060547,0.0,30.0,96738.7421875,16.6079998016,0.0,1.0,-0.609720408916,-2.54530835152,1.32846844196,34.0299655,108.7565873,0.0,0.0,0.0,-0.000555971591053,0.0188598711131,-0.663153089377,-0.748245990746,0.0165968630463,-0.0121693043038,0.045155107975,0.288753002882,-0.234736680984,9.80796813965,0.0
14,2.799999952316284,0.0,30.0,96738.9921875,16.5699996948,0.0,1.0,-0.597265779972,-2.55544519424,1.32234108448,34.0299655,108.7565873,0.0,0.0,0.0,-0.000600266611749,0.0188564651209,-0.663127387702,-0.748268826435,0.0202521104366,-0.014682742767,0.0435439012945,0.286201626062,-0.260180562735,9.81096172333,0.0
